3, 86, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0109695
3, 87, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0110523
3, 88, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0125714
3, 89, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0117379
3, 90, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0112507
3, 91, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0122705
3, 92, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0119824
3, 93, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0113891
3, 94, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0107522
3, 95, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0111986
3, 96, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0127025
3, 97, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0129586
3, 98, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0134173
3, 99, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0141774
3, 100, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0149442
3, 101, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0164729
3, 102, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0164816
3, 103, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0173103
3, 104, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0177344
3, 105, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0180797
3, 106, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0173282
3, 107, 0, 0, 0, 41000, -nan, -nan, -nan, 0.016357
3, 108, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0184492
3, 109, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0187455
3, 110, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0201718
3, 111, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0196357
3, 112, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0198825
3, 113, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0194819
3, 114, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0204892
3, 115, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0201538
3, 116, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0197813
3, 117, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0200847
3, 118, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0209678
3, 119, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0205862
4, 120, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215826
4, 121, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215826
4, 122, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0216119
4, 123, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0222494
4, 124, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221535
4, 125, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221535
4, 126, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221535
4, 127, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221535
4, 128, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221535
4, 129, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0223328
4, 130, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0218583
4, 131, 0, 0, 0, 41000, -nan, -nan, -nan, 0.021873
4, 132, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0217163
4, 133, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0219348
4, 134, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221708
4, 135, 0, 0, 0, 41000, -nan, -nan, -nan, 0.02201
4, 136, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0225006
4, 137, 0, 0, 0, 41000, -nan, -nan, -nan, 0.022554
4, 138, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0224157
4, 139, 0, 0, 0, 41000, -nan, -nan, -nan, 0.022801
4, 140, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0228969
4, 141, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0230599
4, 142, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0230709
4, 143, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231321
4, 144, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231437
4, 145, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0223757
4, 146, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0225023
4, 147, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221163
4, 148, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215686
4, 149, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213357
4, 150, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213664
4, 151, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0211845
4, 152, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213085
4, 153, 0, 0, 0, 41000, -nan, -nan, -nan, 0.021391
4, 154, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215004
4, 155, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213078
4, 156, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0214331
4, 157, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0211266
4, 158, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215221
4, 159, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213251
5, 160, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213403
5, 161, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0213554
5, 162, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0216118
5, 163, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0214804
5, 164, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0210749
5, 165, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221847
5, 166, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0221977
5, 167, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0215732
5, 168, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0220637
5, 169, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0216517
5, 170, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0226183
5, 171, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0233589
5, 172, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0231321
5, 173, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0223063
5, 174, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0232346
5, 175, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0232747
5, 176, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0236029
5, 177, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0237916
5, 178, 0, 0, 0, 41000, -nan, -nan, -nan, 0.024034
5, 179, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241051
5, 180, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0249032
5, 181, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0244764
5, 182, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0239382
5, 183, 0, 0, 0, 41000, -nan, -nan, -nan, 0.024476
5, 184, 0, 0, 0, 41000, -nan, -nan, -nan, 0.023866
5, 185, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0242775
5, 186, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0246551
5, 187, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0246657
5, 188, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241408
5, 189, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241408
5, 190, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 191, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 192, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 193, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 194, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 195, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 196, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 197, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 198, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
5, 199, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
6, 200, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
6, 201, 0, 0, 0, 41000, -nan, -nan, -nan, 0.0241504
