2, 57, 200, -nan, 6049.36, -nan, 0, -nan, 514.677, -nan, 302.963, -nan, 5981.65
2, 58, 200, -nan, 5044.38, -nan, 0, -nan, 453.608, -nan, 333.608, -nan, 4961.34
2, 59, 200, -nan, 7928.65, -nan, 0, -nan, 506.277, -nan, 317.13, -nan, 7839.76
2, 60, 200, -nan, 5818.77, -nan, 0, -nan, 431.797, -nan, 305.895, -nan, 5759.69
2, 61, 200, -nan, 6925.3, -nan, 0, -nan, 258.682, -nan, 150.55, -nan, 6905.16
2, 62, 200, -nan, 5993, -nan, 0, -nan, 766.17, -nan, 580.673, -nan, 5771.82
2, 63, 200, -nan, 6488.56, -nan, 0, -nan, 262.019, -nan, 342.573, -nan, 6452.38
2, 64, 200, -nan, 5782.34, -nan, 0, -nan, 366.448, -nan, 445.551, -nan, 5716.62
2, 65, 200, -nan, 6048.52, -nan, 0, -nan, 161.217, -nan, 172.333, -nan, 6027.71
2, 66, 200, -nan, 5199.32, -nan, 0, -nan, 258.196, -nan, 429.499, -nan, 5142.38
2, 67, 200, -nan, 7191.75, -nan, 0, -nan, 783.726, -nan, 733.068, -nan, 7036.43
2, 68, 200, -nan, 6035.31, -nan, 0, -nan, 334.6, -nan, 191.628, -nan, 6002.72
2, 69, 200, -nan, 6222.42, -nan, 0, -nan, 638.068, -nan, 545.169, -nan, 6081.36
2, 70, 200, -nan, 6361.82, -nan, 0, -nan, 917.61, -nan, 659.58, -nan, 6159.7
2, 71, 200, -nan, 6000.62, -nan, 0, -nan, 428.931, -nan, 398.246, -nan, 5929.38
2, 72, 200, -nan, 5831.19, -nan, 0, -nan, 139.772, -nan, 204.704, -nan, 5807.64
2, 73, 200, -nan, 7093.33, -nan, 0, -nan, 112.843, -nan, 34.0314, -nan, 7075.53
2, 74, 200, 18291.5, 7549.11, 0, 17.8571, 0, 426.704, 354.372, 212.031, 18274.3, 7493.57
2, 75, 200, 10517.8, 7152.16, 181.951, 0, 1110.18, 672.931, 701.585, 437.629, 10164.6, 7030.53
2, 76, 200, 728.479, 8121.68, 0, 0, 571.412, 187.506, 48.073, 334.648, 414.575, 8086.92
2, 77, 200, 10189.9, 8893.34, 62.7728, 0, 1077.23, 381.074, 294.969, 417.516, 10032.6, 8832.53
2, 78, 200, 11014.6, 8293.92, 67.2427, 0, 886.058, 967.042, 625.82, 506.15, 10790.5, 8134.33
