3, 105, 200, -nan, 0.691596, -nan, 0.0109809
3, 106, 200, -nan, 0.677903, -nan, 0.00739937
3, 107, 200, -nan, 0.636488, -nan, 0.00604558
3, 108, 200, -nan, 0.642845, -nan, 0.0079348
3, 109, 200, -nan, 0.754435, -nan, 0.00838112
3, 110, 200, 0.125, 0.729524, -0.817186, 0.00557746
3, 111, 200, -nan, 0.565685, -nan, 0.0084656
3, 112, 200, -nan, 0.658046, -nan, 0.00891814
3, 113, 200, -nan, 0.689884, -nan, 0.00804904
3, 114, 200, -nan, 0.643285, -nan, 0.00899559
3, 115, 200, -nan, 0.674202, -nan, 0.00713949
3, 116, 200, -nan, 0.676629, -nan, 0.00730132
3, 117, 200, -nan, 0.618062, -nan, 0.007795
3, 118, 200, -nan, 0.662807, -nan, 0.00543433
3, 119, 200, -nan, 0.640881, -nan, 0.00812824
4, 120, 200, -nan, 0.715183, -nan, 0.00694011
4, 121, 200, -nan, 0.650363, -nan, 0.00774631
4, 122, 200, -nan, 0.632789, -nan, 0.00774326
4, 123, 200, -nan, 0.723371, -nan, 0.00852557
4, 124, 200, -nan, 0.702876, -nan, 0.00828488
4, 125, 200, -nan, 0.657604, -nan, 0.00697694
4, 126, 200, -nan, 0.597786, -nan, 0.0070325
4, 127, 200, -nan, 0.64346, -nan, 0.00198563
4, 128, 200, 0.125, 0.677027, -0.989341, 0.00861539
4, 129, 200, 0.125, 0.617304, -0.838345, 0.00799401
4, 130, 200, -nan, 0.640873, -nan, 0.00751534
4, 131, 200, -nan, 0.694838, -nan, 0.00825812
4, 132, 200, -nan, 0.621708, -nan, 0.00745612
4, 133, 200, -nan, 0.626184, -nan, 0.00755274
4, 134, 200, -nan, 0.687451, -nan, 0.00665524
4, 135, 200, -nan, 0.694566, -nan, 0.0074029
4, 136, 200, -nan, 0.616045, -nan, 0.00832818
4, 137, 200, -nan, 0.606085, -nan, 0.0037916
4, 138, 200, -nan, 0.6156, -nan, 0.00847124
4, 139, 200, -nan, 0.632612, -nan, 0.0102013
4, 140, 200, -nan, 0.698391, -nan, 0.0089191
4, 141, 200, -nan, 0.634408, -nan, 0.0079938
4, 142, 200, -nan, 0.630294, -nan, 0.00837819
4, 143, 200, -nan, 0.606712, -nan, 0.00805516
4, 144, 200, -nan, 0.611324, -nan, 0.00890319
4, 145, 200, -nan, 0.639731, -nan, 0.00780301
4, 146, 200, -nan, 0.655056, -nan, 0.00585469
4, 147, 200, 0.142857, 0.603803, -0.994513, 0.00729615
4, 148, 200, 0.125, 0.656563, -0.99496, 0.00804208
4, 149, 200, -nan, 0.63638, -nan, 0.00260517
4, 150, 200, -nan, 0.65196, -nan, 0.00859067
4, 151, 200, -nan, 0.612793, -nan, 0.00723974
4, 152, 200, -nan, 0.592525, -nan, 0.00563429
4, 153, 200, -nan, 0.608697, -nan, 0.00717586
