3, 106, 200, -nan, 0.704384, -nan, 0.0110979
3, 107, 200, -nan, 0.664457, -nan, 0.0114819
3, 108, 200, -nan, 0.66808, -nan, 0.00988088
3, 109, 200, -nan, 0.651625, -nan, 0.00977748
3, 110, 200, -nan, 0.687676, -nan, 0.00736318
3, 111, 200, -nan, 0.714286, -nan, 0.00824316
3, 112, 200, -nan, 0.649129, -nan, 0.0108554
3, 113, 200, -nan, 0.685249, -nan, 0.0113575
3, 114, 200, -nan, 0.681189, -nan, 0.0105204
3, 115, 200, -nan, 0.657059, -nan, 0.0101891
3, 116, 200, -nan, 0.618507, -nan, -0.00231804
3, 117, 200, -nan, 0.653135, -nan, 0.00683384
3, 118, 200, -nan, 0.701446, -nan, 0.0104967
3, 119, 200, -nan, 0.689678, -nan, 0.00846336
4, 120, 200, -nan, 0.620772, -nan, 0.013482
4, 121, 200, -nan, 0.64999, -nan, 0.0107355
4, 122, 200, -nan, 0.743751, -nan, 0.0064603
4, 123, 200, -nan, 0.671208, -nan, 0.0126482
4, 124, 200, -nan, 0.573591, -nan, 0.00537119
4, 125, 200, -nan, 0.673697, -nan, 0.010492
4, 126, 200, -nan, 0.748891, -nan, 0.00526287
4, 127, 200, -nan, 0.616041, -nan, 0.00891339
4, 128, 200, -nan, 0.660581, -nan, 0.00958447
4, 129, 200, -nan, 0.664237, -nan, 0.0114567
4, 130, 200, -nan, 0.76811, -nan, 0.0140011
4, 131, 200, -nan, 0.679697, -nan, 0.00960213
4, 132, 200, -nan, 0.692927, -nan, 0.0080515
4, 133, 200, -nan, 0.611342, -nan, 0.0107391
4, 134, 200, -nan, 0.559816, -nan, 0.00452031
4, 135, 200, -nan, 0.654843, -nan, 0.00941835
4, 136, 200, -nan, 0.734578, -nan, 0.0114758
4, 137, 200, -nan, 0.672346, -nan, 0.00459828
4, 138, 200, -nan, 0.709168, -nan, 0.00908045
4, 139, 200, -nan, 0.669835, -nan, 0.0111015
4, 140, 200, -nan, 0.63764, -nan, 0.0101866
4, 141, 200, -nan, 0.663385, -nan, 0.00891816
4, 142, 200, -nan, 0.687452, -nan, 0.0103031
4, 143, 200, -nan, 0.608667, -nan, 0.00834435
4, 144, 200, -nan, 0.656526, -nan, 0.0111005
4, 145, 200, -nan, 0.679029, -nan, 0.00951756
4, 146, 200, -nan, 0.718868, -nan, 0.010382
4, 147, 200, -nan, 0.675959, -nan, 0.00933801
4, 148, 200, -nan, 0.688781, -nan, 0.00549548
4, 149, 200, -nan, 0.660744, -nan, 0.00871359
4, 150, 200, -nan, 0.716977, -nan, 0.0109709
4, 151, 200, -nan, 0.671601, -nan, 0.00354625
4, 152, 200, -nan, 0.665033, -nan, 0.00469675
4, 153, 200, 0.125, 0.617304, -0.806785, 0.0112203
4, 154, 200, -nan, 0.679932, -nan, 0.011721
4, 155, 200, -nan, 0.662361, -nan, 0.0068156
4, 156, 200, -nan, 0.695516, -nan, 0.0102801
4, 157, 200, -nan, 0.713474, -nan, 0.00319319
4, 158, 200, -nan, 0.637572, -nan, 0.00941226
4, 159, 200, -nan, 0.662613, -nan, 0.00899267
5, 160, 200, -nan, 0.67142, -nan, 0.00998919
5, 161, 200, -nan, 0.658432, -nan, 0.00255719
5, 162, 200, -nan, 0.719452, -nan, 0.0110965
5, 163, 200, -nan, 0.694851, -nan, 0.00979777
5, 164, 200, -nan, 0.752868, -nan, 0.00745935
5, 165, 200, -nan, 0.641014, -nan, 0.00783293
5, 166, 200, -nan, 0.707279, -nan, 0.00906308
5, 167, 200, -nan, 0.657358, -nan, 0.00892821
5, 168, 200, -nan, 0.786344, -nan, 0.00978039
5, 169, 200, -nan, 0.627784, -nan, 0.00903553
5, 170, 200, -nan, 0.630674, -nan, 0.00882811
5, 171, 200, -nan, 0.660408, -nan, 0.00892087
5, 172, 200, 0.142857, 0.687099, -0.781533, 0.00916093
5, 173, 200, -nan, 0.643652, -nan, 0.00942412
5, 174, 200, -nan, 0.728341, -nan, 0.00987664
5, 175, 200, -nan, 0.731332, -nan, 0.00434935
5, 176, 200, -nan, 0.684215, -nan, 0.00719333
5, 177, 200, -nan, 0.650167, -nan, 0.0110838
5, 178, 200, -nan, 0.645966, -nan, 0.00950544
5, 179, 200, -nan, 0.658336, -nan, 0.00968402
5, 180, 200, -nan, 0.639688, -nan, 0.0109846
5, 181, 200, -nan, 0.668846, -nan, 0.00969064
5, 182, 200, 0.125, 0.624876, -0.809188, 0.00609323
5, 183, 200, -nan, 0.706577, -nan, 0.00960083
5, 184, 200, 0.0625, 0.717639, -0.808389, 0.00979215
5, 185, 200, -nan, 0.68652, -nan, 0.00921395
5, 186, 200, -nan, 0.822268, -nan, 0.00932041
5, 187, 200, -nan, 0.61797, -nan, 0.0133081
5, 188, 200, -nan, 0.689324, -nan, 0.00899751
5, 189, 200, -nan, 0.673921, -nan, 0.00554563
5, 190, 200, -nan, 0.656218, -nan, 0.0109842
5, 191, 200, -nan, 0.666889, -nan, 0.00900134
5, 192, 200, -nan, 0.644923, -nan, 0.0121726
5, 193, 200, -nan, 0.606553, -nan, 0.00891044
5, 194, 200, -nan, 0.651814, -nan, 0.0107455
5, 195, 200, 0.125, 0.640663, -0.816009, 0.0105783
5, 196, 200, -nan, 0.689373, -nan, 0.0112284
5, 197, 200, -nan, 0.658795, -nan, 0.00924611
5, 198, 200, -nan, 0.67829, -nan, 0.00979102
5, 199, 200, -nan, 0.659536, -nan, 0.0128103
6, 200, 200, -nan, 0.665966, -nan, 0.00950403
6, 201, 200, -nan, 0.73069, -nan, 0.0098675
6, 202, 200, -nan, 0.735511, -nan, 0.00939455
6, 203, 200, -nan, 0.691317, -nan, 0.00818167
6, 204, 200, -nan, 0.705388, -nan, 0.00957214
6, 205, 200, 0.25, 0.722217, -0.637982, 0.00909044
6, 206, 200, -nan, 0.672413, -nan, 0.0077782
6, 207, 200, 0.125, 0.765499, -0.837426, 0.00819275
6, 208, 200, -nan, 0.683094, -nan, 0.0099925
6, 209, 200, -nan, 0.760778, -nan, 0.00996525
6, 210, 200, -nan, 0.72888, -nan, 0.0133289
6, 211, 200, -nan, 0.650714, -nan, 0.00899696
6, 212, 200, 0.125, 0.666313, -0.812044, 0.00796109
6, 213, 200, -nan, 0.610973, -nan, 0.0113521
6, 214, 200, -nan, 0.701054, -nan, 0.012971
6, 215, 200, 0.125, 0.689774, -0.807531, 0.00941426
6, 216, 200, -nan, 0.638891, -nan, 0.00374482
6, 217, 200, -nan, 0.667959, -nan, 0.0112344
6, 218, 200, 0.0625, 0.798496, -0.830121, 0.00668935
6, 219, 200, 0.125, 0.675456, -0.809268, 0.00795432
6, 220, 200, -nan, 0.659419, -nan, 0.00746143
6, 221, 200, -nan, 0.645263, -nan, 0.00908454
6, 222, 200, -nan, 0.69495, -nan, 0.00773993
6, 223, 200, -nan, 0.602803, -nan, 0.00252905
6, 224, 200, -nan, 0.616111, -nan, 0.00417029
6, 225, 200, -nan, 0.615802, -nan, 0.00961279
6, 226, 200, -nan, 0.7301, -nan, 0.00988342
6, 227, 200, -nan, 0.64569, -nan, 0.00490014
6, 228, 200, -nan, 0.667844, -nan, 0.00830217
6, 229, 200, 0.125, 0.703999, -0.827836, 0.0079905
6, 230, 200, -nan, 0.715995, -nan, 0.00680582
6, 231, 200, -nan, 0.664838, -nan, 0.0074452
6, 232, 200, -nan, 0.721044, -nan, 0.00933718
6, 233, 200, -nan, 0.761431, -nan, 0.00884272
6, 234, 200, -nan, 0.62801, -nan, 0.00762925
6, 235, 200, 0.125, 0.718585, -0.806301, 0.00723807
6, 236, 200, -nan, 0.64216, -nan, 0.00319926
6, 237, 200, -nan, 0.638187, -nan, 0.00631838
6, 238, 200, -nan, 0.664192, -nan, 0.00787201
6, 239, 200, -nan, 0.67616, -nan, 0.00588231
7, 240, 200, -nan, 0.767867, -nan, 0.00778127
7, 241, 200, -nan, 0.618871, -nan, 0.00714377
7, 242, 200, -nan, 0.676393, -nan, 0.00812515
7, 243, 200, -nan, 0.683602, -nan, 0.00750835
7, 244, 200, -nan, 0.624486, -nan, 0.00812289
7, 245, 200, -nan, 0.665179, -nan, 0.00425042
7, 246, 200, -nan, 0.658826, -nan, 0.00757121
7, 247, 200, 0.125, 0.754533, -0.813906, 0.00727752
7, 248, 200, -nan, 0.690423, -nan, 0.00412544
7, 249, 200, -nan, 0.681569, -nan, 0.00799784
7, 250, 200, -nan, 0.749721, -nan, 0.00495529
7, 251, 200, 0.0666667, 0.720258, -0.799291, 0.0052707
7, 252, 200, -nan, 0.629839, -nan, 0.00665464
7, 253, 200, 0.0625, 0.696053, -0.81647, 0.00688901
7, 254, 200, 0.125, 0.676936, -0.803841, 0.0014755
7, 255, 200, 0.125, 0.696777, -0.806189, 0.00644218
7, 256, 200, 0.2, 0.71755, -0.689875, 0.0067057
7, 257, 200, 0.0909091, 0.699074, -0.862631, 0.00407406
7, 258, 200, -nan, 0.712695, -nan, 0.00661807
7, 259, 200, -nan, 0.68911, -nan, 0.00674883
7, 260, 200, -nan, 0.624029, -nan, 0.00574633
7, 261, 200, -nan, 0.61414, -nan, 0.00613267
7, 262, 200, -nan, 0.623359, -nan, 0.00387422
7, 263, 200, -nan, 0.635499, -nan, 0.00458399
7, 264, 200, -nan, 0.596638, -nan, 0.00620256
7, 265, 200, -nan, 0.63038, -nan, 0.00657464
7, 266, 200, -nan, 0.615657, -nan, 0.0055691
7, 267, 200, -nan, 0.637623, -nan, 0.00642409
7, 268, 200, -nan, 0.623802, -nan, 0.00481493
7, 269, 200, -nan, 0.675624, -nan, 0.0042035
7, 270, 200, -nan, 0.654649, -nan, 0.00657001
7, 271, 200, -nan, 0.677715, -nan, 0.00657006
7, 272, 200, -nan, 0.653365, -nan, 0.00471433
7, 273, 200, 0.0625, 0.691647, -0.809559, 0.00678967
7, 274, 200, -nan, 0.689905, -nan, 0.00616754
7, 275, 200, 0.125, 0.620203, -0.822473, 0.00218597
7, 276, 200, 0.0333333, 0.649305, -0.812009, 0.00679309
7, 277, 200, -nan, 0.737913, -nan, 0.0074423
7, 278, 200, -nan, 0.673888, -nan, 0.0061913
7, 279, 200, -nan, 0.645949, -nan, 0.00665701
8, 280, 200, -nan, 0.670715, -nan, 0.00459998
8, 281, 200, -nan, 0.698211, -nan, 0.00542857
8, 282, 200, -nan, 0.682087, -nan, 0.00693302
8, 283, 200, -nan, 0.712071, -nan, 0.00673694
