2, 65, 200, -nan, 6740.75, -nan, 0, -nan, 0, -nan, 0, -nan, 6740.75
2, 66, 200, -nan, 6904.71, -nan, 0, -nan, 0, -nan, 0, -nan, 6904.71
2, 67, 200, -nan, 6684.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6684.13
2, 68, 200, 10154.3, 6189.44, 0, 0, 0, 0, 0, 0, 10154.3, 6189.44
2, 69, 200, -nan, 6342.77, -nan, 0, -nan, 0, -nan, 0, -nan, 6342.77
2, 70, 200, -nan, 6936.9, -nan, 0, -nan, 0, -nan, 0, -nan, 6936.9
2, 71, 200, -nan, 6253.71, -nan, 0, -nan, 0, -nan, 0, -nan, 6253.71
2, 72, 200, -nan, 5835.7, -nan, 0, -nan, 0, -nan, 0, -nan, 5835.7
2, 73, 200, -nan, 6793.5, -nan, 0, -nan, 0, -nan, 0, -nan, 6793.5
2, 74, 200, -nan, 6472.21, -nan, 0, -nan, 0, -nan, 0, -nan, 6472.21
2, 75, 200, -nan, 7132.5, -nan, 0, -nan, 0, -nan, 0, -nan, 7132.5
2, 76, 200, -nan, 6111.01, -nan, 0, -nan, 0, -nan, 0, -nan, 6111.01
2, 77, 200, 9414.36, 7135.84, 0, 0, 0, 0, 0, 0, 9414.36, 7135.84
2, 78, 200, 3754.82, 6978.37, 0, 0, 0, 0, 0, 0, 3754.82, 6978.37
2, 79, 200, 5428.72, 6834.71, 0, 0, 0, 0, 0, 0, 5428.72, 6834.71
3, 80, 200, -nan, 7038.61, -nan, 0, -nan, 0, -nan, 0, -nan, 7038.61
3, 81, 200, -nan, 7784.14, -nan, 0, -nan, 0, -nan, 0, -nan, 7784.14
3, 82, 200, -nan, 6129.99, -nan, 0, -nan, 0, -nan, 0, -nan, 6129.99
3, 83, 200, -nan, 5834.88, -nan, 0, -nan, 0, -nan, 0, -nan, 5834.88
3, 84, 200, -nan, 6461.39, -nan, 0, -nan, 0, -nan, 0, -nan, 6461.39
3, 85, 200, 19035, 6030.5, 0, 0, 0, 0, 0, 0, 19035, 6030.5
3, 86, 200, 13242, 6460.41, 0, 0, 0, 0, 0, 0, 13242, 6460.41
3, 87, 200, -nan, 6295.29, -nan, 0, -nan, 0, -nan, 0, -nan, 6295.29
3, 88, 200, -nan, 6257.36, -nan, 0, -nan, 0, -nan, 0, -nan, 6257.36
3, 89, 200, -nan, 6136.84, -nan, 0, -nan, 0, -nan, 0, -nan, 6136.84
3, 90, 200, -nan, 6351.73, -nan, 0, -nan, 0, -nan, 0, -nan, 6351.73
3, 91, 200, -nan, 6208.07, -nan, 0, -nan, 0, -nan, 0, -nan, 6208.07
3, 92, 200, -nan, 6667.92, -nan, 0, -nan, 0, -nan, 0, -nan, 6667.92
3, 93, 200, -nan, 6378.16, -nan, 0, -nan, 0, -nan, 0, -nan, 6378.16
3, 94, 200, -nan, 7162.77, -nan, 0, -nan, 0, -nan, 0, -nan, 7162.77
3, 95, 200, -nan, 6764.6, -nan, 0, -nan, 0, -nan, 0, -nan, 6764.6
3, 96, 200, -nan, 7142.77, -nan, 0, -nan, 0, -nan, 0, -nan, 7142.77
3, 97, 200, -nan, 6807.65, -nan, 0, -nan, 0, -nan, 0, -nan, 6807.65
3, 98, 200, -nan, 6474.62, -nan, 0, -nan, 0, -nan, 0, -nan, 6474.62
3, 99, 200, -nan, 6238.61, -nan, 0, -nan, 0, -nan, 0, -nan, 6238.61
3, 100, 200, -nan, 5897.01, -nan, 0, -nan, 0, -nan, 0, -nan, 5897.01
3, 101, 200, -nan, 6501.38, -nan, 0, -nan, 0, -nan, 0, -nan, 6501.38
3, 102, 200, -nan, 7014.94, -nan, 0, -nan, 0, -nan, 0, -nan, 7014.94
3, 103, 200, -nan, 5465.1, -nan, 0, -nan, 0, -nan, 0, -nan, 5465.1
3, 104, 200, -nan, 7194.39, -nan, 0, -nan, 0, -nan, 0, -nan, 7194.39
3, 105, 200, -nan, 6502.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6502.11
3, 106, 200, -nan, 5955.24, -nan, 0, -nan, 0, -nan, 0, -nan, 5955.24
3, 107, 200, -nan, 6499.65, -nan, 0, -nan, 0, -nan, 0, -nan, 6499.65
3, 108, 200, -nan, 6547.78, -nan, 0, -nan, 0, -nan, 0, -nan, 6547.78
3, 109, 200, -nan, 6398.78, -nan, 0, -nan, 0, -nan, 0, -nan, 6398.78
3, 110, 200, -nan, 6491.05, -nan, 0, -nan, 0, -nan, 0, -nan, 6491.05
3, 111, 200, -nan, 6824.85, -nan, 0, -nan, 0, -nan, 0, -nan, 6824.85
3, 112, 200, -nan, 5920.22, -nan, 0, -nan, 0, -nan, 0, -nan, 5920.22
3, 113, 200, -nan, 6532.73, -nan, 0, -nan, 0, -nan, 0, -nan, 6532.73
3, 114, 200, -nan, 6806.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6806.11
3, 115, 200, -nan, 6380.99, -nan, 0, -nan, 0, -nan, 0, -nan, 6380.99
3, 116, 200, -nan, 5925.77, -nan, 0, -nan, 0, -nan, 0, -nan, 5925.77
3, 117, 200, -nan, 6301.65, -nan, 0, -nan, 0, -nan, 0, -nan, 6301.65
3, 118, 200, -nan, 6959.66, -nan, 0, -nan, 0, -nan, 0, -nan, 6959.66
3, 119, 200, -nan, 6365.52, -nan, 0, -nan, 0, -nan, 0, -nan, 6365.52
4, 120, 200, -nan, 5902.4, -nan, 0, -nan, 0, -nan, 0, -nan, 5902.4
4, 121, 200, -nan, 6442.82, -nan, 0, -nan, 0, -nan, 0, -nan, 6442.82
4, 122, 200, -nan, 7860.31, -nan, 0, -nan, 0, -nan, 0, -nan, 7860.31
4, 123, 200, -nan, 6595.74, -nan, 0, -nan, 0, -nan, 0, -nan, 6595.74
4, 124, 200, -nan, 5429.44, -nan, 0, -nan, 0, -nan, 0, -nan, 5429.44
4, 125, 200, -nan, 6468.62, -nan, 0, -nan, 0, -nan, 0, -nan, 6468.62
4, 126, 200, -nan, 7013.96, -nan, 0, -nan, 0, -nan, 0, -nan, 7013.96
4, 127, 200, -nan, 6155.24, -nan, 0, -nan, 0, -nan, 0, -nan, 6155.24
4, 128, 200, -nan, 6458.59, -nan, 0, -nan, 0, -nan, 0, -nan, 6458.59
4, 129, 200, -nan, 6069.06, -nan, 0, -nan, 0, -nan, 0, -nan, 6069.06
4, 130, 200, -nan, 7445.16, -nan, 0, -nan, 0, -nan, 0, -nan, 7445.16
4, 131, 200, -nan, 6510.05, -nan, 0, -nan, 0, -nan, 0, -nan, 6510.05
4, 132, 200, -nan, 6865.8, -nan, 0, -nan, 0, -nan, 0, -nan, 6865.8
4, 133, 200, -nan, 5837.52, -nan, 0, -nan, 0, -nan, 0, -nan, 5837.52
4, 134, 200, -nan, 5147.8, -nan, 0, -nan, 0, -nan, 0, -nan, 5147.8
4, 135, 200, -nan, 6311.28, -nan, 0, -nan, 0, -nan, 0, -nan, 6311.28
4, 136, 200, -nan, 7419.15, -nan, 0, -nan, 0, -nan, 0, -nan, 7419.15
4, 137, 200, -nan, 6788.33, -nan, 0, -nan, 0, -nan, 0, -nan, 6788.33
4, 138, 200, -nan, 6561.12, -nan, 0, -nan, 0, -nan, 0, -nan, 6561.12
4, 139, 200, -nan, 6775.37, -nan, 0, -nan, 0, -nan, 0, -nan, 6775.37
4, 140, 200, -nan, 6266.83, -nan, 0, -nan, 0, -nan, 0, -nan, 6266.83
4, 141, 200, -nan, 6516.25, -nan, 0, -nan, 0, -nan, 0, -nan, 6516.25
4, 142, 200, -nan, 6421.53, -nan, 0, -nan, 0, -nan, 0, -nan, 6421.53
4, 143, 200, -nan, 5682.77, -nan, 0, -nan, 0, -nan, 0, -nan, 5682.77
4, 144, 200, -nan, 6495.2, -nan, 0, -nan, 0, -nan, 0, -nan, 6495.2
4, 145, 200, -nan, 6867.85, -nan, 0, -nan, 0, -nan, 0, -nan, 6867.85
4, 146, 200, -nan, 7231.11, -nan, 0, -nan, 0, -nan, 0, -nan, 7231.11
4, 147, 200, -nan, 6584.67, -nan, 0, -nan, 0, -nan, 0, -nan, 6584.67
4, 148, 200, -nan, 6736.84, -nan, 0, -nan, 0, -nan, 0, -nan, 6736.84
4, 149, 200, -nan, 6325.32, -nan, 0, -nan, 0, -nan, 0, -nan, 6325.32
4, 150, 200, -nan, 6550.72, -nan, 0, -nan, 0, -nan, 0, -nan, 6550.72
4, 151, 200, -nan, 6904.72, -nan, 0, -nan, 0, -nan, 0, -nan, 6904.72
4, 152, 200, -nan, 6376.08, -nan, 0, -nan, 0, -nan, 0, -nan, 6376.08
4, 153, 200, 17020.6, 5737.63, 0, 0, 0, 0, 0, 0, 17020.6, 5737.63
4, 154, 200, -nan, 6972.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6972.51
4, 155, 200, -nan, 6435.01, -nan, 0, -nan, 0, -nan, 0, -nan, 6435.01
4, 156, 200, -nan, 6765.92, -nan, 0, -nan, 0, -nan, 0, -nan, 6765.92
4, 157, 200, -nan, 7178.88, -nan, 0, -nan, 0, -nan, 0, -nan, 7178.88
4, 158, 200, -nan, 5914.99, -nan, 0, -nan, 0, -nan, 0, -nan, 5914.99
4, 159, 200, -nan, 6278.07, -nan, 0, -nan, 0, -nan, 0, -nan, 6278.07
5, 160, 200, -nan, 6479.4, -nan, 0, -nan, 0, -nan, 0, -nan, 6479.4
5, 161, 200, -nan, 6425.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6425.97
5, 162, 200, -nan, 6566.14, -nan, 0, -nan, 0, -nan, 0, -nan, 6566.14
5, 163, 200, -nan, 6494.34, -nan, 0, -nan, 0, -nan, 0, -nan, 6494.34
5, 164, 200, -nan, 7594.95, -nan, 0, -nan, 0, -nan, 0, -nan, 7594.95
