3, 86, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00292806
3, 87, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00298785
3, 88, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00297635
3, 89, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00298424
3, 90, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00293587
3, 91, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00295961
3, 92, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0029308
3, 93, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00283663
3, 94, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00362973
3, 95, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00373316
3, 96, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00373737
3, 97, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00373065
3, 98, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00371225
3, 99, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00369665
3, 100, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00370071
3, 101, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00373123
3, 102, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00371213
3, 103, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0036733
3, 104, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00366871
3, 105, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00365889
3, 106, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00367605
3, 107, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00367961
3, 108, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00368173
3, 109, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0037027
3, 110, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00369758
3, 111, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00363008
3, 112, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364951
3, 113, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364723
3, 114, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00368418
3, 115, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364304
3, 116, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359652
3, 117, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364352
3, 118, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364865
3, 119, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364545
4, 120, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364114
4, 121, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364217
4, 122, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00365569
4, 123, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00366616
4, 124, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360936
4, 125, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364613
4, 126, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00363981
4, 127, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00367805
4, 128, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364184
4, 129, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00367662
4, 130, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00370577
4, 131, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364898
4, 132, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00367349
4, 133, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0036689
4, 134, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00367325
4, 135, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00366996
4, 136, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0036608
4, 137, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00363853
4, 138, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359556
4, 139, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00361387
4, 140, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00361297
4, 141, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00361003
4, 142, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358576
4, 143, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00361023
4, 144, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00354117
4, 145, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359857
4, 146, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00354055
4, 147, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00355333
4, 148, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359137
4, 149, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359649
4, 150, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0035607
4, 151, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359123
4, 152, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358335
4, 153, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00357117
4, 154, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00354526
4, 155, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00354059
4, 156, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00351868
4, 157, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00352687
4, 158, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00353087
4, 159, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360694
5, 160, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00351579
5, 161, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360961
5, 162, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00362607
5, 163, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00356585
5, 164, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00361402
5, 165, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359039
5, 166, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00357396
5, 167, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358647
5, 168, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00359893
5, 169, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00365933
5, 170, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00363429
5, 171, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358348
5, 172, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00363946
5, 173, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358234
5, 174, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00355243
5, 175, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00357645
5, 176, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360704
5, 177, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00364935
5, 178, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360548
5, 179, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358511
5, 180, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360077
5, 181, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00366545
5, 182, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00360815
5, 183, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0035519
5, 184, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00357378
5, 185, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00356489
5, 186, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00357297
5, 187, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00358281
5, 188, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00352985
5, 189, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0035316
5, 190, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0035442
5, 191, 0, 0, 0, 41000, -nan, -nan, -nan, -0.0035369
5, 192, 0, 0, 0, 41000, -nan, -nan, -nan, -0.00354714
