4, 126, 200, -nan, -nan, -nan, -nan
4, 127, 200, -nan, -nan, -nan, -nan
4, 128, 200, 0.125, 11.9408, -0.819361, 0.440438
4, 129, 200, -nan, -nan, -nan, -nan
4, 130, 200, -nan, -nan, -nan, -nan
4, 131, 200, -nan, -nan, -nan, -nan
4, 132, 200, -nan, -nan, -nan, -nan
4, 133, 200, -nan, -nan, -nan, -nan
4, 134, 200, 0.125, 10.9566, -0.880319, 0.408622
4, 135, 200, -nan, -nan, -nan, -nan
4, 136, 200, -nan, -nan, -nan, -nan
4, 137, 200, -nan, -nan, -nan, -nan
4, 138, 200, -nan, -nan, -nan, -nan
4, 139, 200, -nan, -nan, -nan, -nan
4, 140, 200, -nan, -nan, -nan, -nan
4, 141, 200, -nan, -nan, -nan, -nan
4, 142, 200, -nan, -nan, -nan, -nan
4, 143, 200, -nan, 4.93678, -nan, 0.488854
4, 144, 200, -nan, -nan, -nan, -nan
4, 145, 200, -nan, -nan, -nan, -nan
4, 146, 200, -nan, -nan, -nan, -nan
4, 147, 200, -nan, -nan, -nan, -nan
4, 148, 200, -nan, -nan, -nan, -nan
4, 149, 200, -nan, -nan, -nan, -nan
4, 150, 200, -nan, -nan, -nan, -nan
4, 151, 200, -nan, -nan, -nan, -nan
4, 152, 200, -nan, -nan, -nan, -nan
4, 153, 200, -nan, -nan, -nan, -nan
4, 154, 200, -nan, -nan, -nan, -nan
4, 155, 200, 0.125, 5.55703, -0.855495, 0.260765
4, 156, 200, -nan, -nan, -nan, -nan
4, 157, 200, -nan, 0.407314, -nan, 0.988156
4, 158, 200, -nan, -nan, -nan, -nan
4, 159, 200, -nan, 7.76781, -nan, 0.459842
5, 160, 200, 0.0416667, 2.67581, -0.852825, 0.0648195
5, 161, 200, 0.125, 1.58428, -0.851689, 0.111107
5, 162, 200, 0.0625, 1.55052, -0.856038, 0.166275
5, 163, 200, 0.025, 1.65691, -0.863734, -0.0755295
5, 164, 200, 0.008, 1.35935, -0.696144, 0.0216684
5, 165, 200, 0.00952381, 1.25596, -0.787459, -0.00902068
5, 166, 200, 0.0133333, 0.562189, -0.809085, -0.012163
5, 167, 200, 0.0208333, 0.833415, -0.719346, -0.00834301
5, 168, 200, 0.2, 0.765099, -0.686306, 0.00156231
5, 169, 200, 0.142857, 0.707002, -0.805492, -0.00161352
5, 170, 200, -nan, 0.935706, -nan, 0.0212397
5, 171, 200, 0.0625, 0.713168, -0.812212, -0.00876186
5, 172, 200, 0.0416667, 0.599212, -0.836989, -0.00728241
5, 173, 200, -nan, 0.671979, -nan, 0.0227135
5, 174, 200, -nan, 0.694769, -nan, 0.00346277
5, 175, 200, 0.2, 0.689414, -0.691258, -0.00298956
5, 176, 200, 0.333333, 0.658197, -1, -0.0190297
5, 177, 200, 0.125, 0.77995, -0.841634, 0.0017499
5, 178, 200, -nan, 0.609833, -nan, 0.00985723
5, 179, 200, -nan, 0.569065, -nan, 0.0203561
5, 180, 200, -nan, 0.668922, -nan, -0.0131249
5, 181, 200, -nan, 0.682756, -nan, -0.00475707
5, 182, 200, 0.125, 0.579816, -0.82538, -0.0133362
5, 183, 200, -nan, 0.764607, -nan, -0.0166277
5, 184, 200, 0.125, 0.631093, -0.841799, 0.0277186
5, 185, 200, -nan, 0.725182, -nan, 0.0256118
5, 186, 200, -nan, 0.675114, -nan, -0.00324801
5, 187, 200, -nan, 0.581587, -nan, 0.0181705
5, 188, 200, -nan, 0.56381, -nan, -0.000786036
5, 189, 200, 0.125, 0.551672, -0.833636, 0.0151138
5, 190, 200, -nan, 0.645556, -nan, -0.0153615
5, 191, 200, -nan, 0.603429, -nan, 0.0189752
5, 192, 200, 0.125, 0.720424, -0.852208, -0.0237276
5, 193, 200, 0.125, 0.687879, -0.825889, 0.0188108
5, 194, 200, -nan, 0.601717, -nan, 0.0124654
5, 195, 200, -nan, 0.602214, -nan, 0.0242298
5, 196, 200, -nan, 0.655795, -nan, -0.00702127
5, 197, 200, -nan, 0.578274, -nan, 0.0153749
5, 198, 200, -nan, 0.764852, -nan, 0.0177587
5, 199, 200, -nan, 0.630144, -nan, -0.00941078
6, 200, 200, -nan, 0.750209, -nan, -0.0173833
6, 201, 200, -nan, 0.64192, -nan, -0.00935627
6, 202, 200, -nan, 0.65545, -nan, 0.0188559
6, 203, 200, -nan, 0.616613, -nan, -0.009043
6, 204, 200, -nan, 0.621638, -nan, 0.01997
6, 205, 200, -nan, 0.659449, -nan, 0.00784898
6, 206, 200, -nan, 0.563038, -nan, 0.0156148
6, 207, 200, -nan, 0.73233, -nan, -0.0083283
6, 208, 200, -nan, 0.72266, -nan, 0.00167542
6, 209, 200, -nan, 0.571946, -nan, 0.0136781
6, 210, 200, -nan, 0.700184, -nan, 0.0166513
6, 211, 200, -nan, 0.547184, -nan, 0.0157402
6, 212, 200, -nan, 0.597106, -nan, 0.0227103
6, 213, 200, -nan, 0.568788, -nan, 0.0103582
6, 214, 200, -nan, 0.630623, -nan, -0.00174202
6, 215, 200, -nan, 0.605321, -nan, 0.0212269
6, 216, 200, -nan, 0.700977, -nan, 0.0255958
6, 217, 200, -nan, 0.590487, -nan, -0.0195379
6, 218, 200, -nan, 0.606855, -nan, 0.0144914
6, 219, 200, -nan, 0.69389, -nan, -0.00814846
6, 220, 200, -nan, 0.686445, -nan, 0.016109
6, 221, 200, -nan, 0.6886, -nan, 0.0237783
6, 222, 200, -nan, 0.588435, -nan, 0.0151382
6, 223, 200, -nan, 0.586921, -nan, -0.0160541
6, 224, 200, -nan, 0.580844, -nan, 0.0169075
6, 225, 200, -nan, 0.581936, -nan, -0.0112161
6, 226, 200, -nan, 0.567128, -nan, 0.0180988
6, 227, 200, -nan, 0.568469, -nan, 0.0043517
6, 228, 200, -nan, 0.653172, -nan, -0.0178476
6, 229, 200, -nan, 0.601851, -nan, 0.0369378
6, 230, 200, -nan, 0.684869, -nan, 0.0212472
