2, 62, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 63, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 64, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 65, 200, 6289.47, 5191.49, 0, 1000, 1002.7, 3464.1, 1285.54, 3331.32, 6007.52, 1689.33
2, 66, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 67, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 68, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 69, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 70, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 71, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 72, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 73, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 74, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 75, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 76, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 77, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 78, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
2, 79, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 80, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 81, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 82, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 83, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 84, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 85, 200, -nan, 5274.22, -nan, 0, -nan, 0, -nan, 0, -nan, 5274.22
3, 86, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 87, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 88, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 89, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 90, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 91, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 92, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 93, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 94, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 95, 200, 1083.07, 6807.86, 0, 0, 0, 3872.98, 666.509, 0, 847.387, 5598.84
3, 96, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 97, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 98, 200, -nan, 2190.89, -nan, 0, -nan, 1545.29, -nan, 1491.12, -nan, 434.328
3, 99, 200, -nan, 1074.11, -nan, 0, -nan, 0, -nan, 0, -nan, 1074.11
3, 100, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 101, 200, -nan, 1899.91, -nan, 0, -nan, 1037.73, -nan, 1465.13, -nan, 621.426
3, 102, 200, -nan, 13113.6, -nan, 0, -nan, 834.354, -nan, 1195.84, -nan, 12668.1
3, 103, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 104, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 105, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 106, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 107, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 108, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 109, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 110, 200, -nan, 2148.54, -nan, 0, -nan, 0, -nan, 0, -nan, 2148.54
3, 111, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 112, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 113, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 114, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 115, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 116, 200, -nan, 1616.76, -nan, 0, -nan, 0, -nan, 1002.36, -nan, 1268.53
3, 117, 200, 10810.1, 3839.26, 0, 0, 978.218, 2000, 672.59, 2227.42, 10696.2, 1676.64
3, 118, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
3, 119, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 120, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 121, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 122, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 123, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 124, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 125, 200, -nan, 1923.27, -nan, 0, -nan, 1023.26, -nan, 441.241, -nan, 1567.54
4, 126, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 127, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 128, 200, 21210.2, 81862, 0, 0, 0, 4795.83, 1303.25, 2449.49, 21116, 81684.7
4, 129, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 130, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 131, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 132, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 133, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 134, 200, 4948.27, 75114.4, 0, 0, 1004.8, 3162.28, 939.654, 0, 4676.39, 75047.8
4, 135, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 136, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 137, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 138, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 139, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 140, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 141, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 142, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 143, 200, -nan, 23675.9, -nan, 0, -nan, 0, -nan, 0, -nan, 23675.9
4, 144, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 145, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 146, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 147, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 148, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 149, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 150, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 151, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 152, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 153, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 154, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 155, 200, 8001.44, 39294.1, 0, 0, 1065.1, 3162.28, 581.144, 1414.21, 7838.16, 39141.1
4, 156, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 157, 200, -nan, 2477.59, -nan, 0, -nan, 1647.29, -nan, 257.172, -nan, 1832.69
4, 158, 200, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan, -nan
4, 159, 200, -nan, 45955, -nan, 0, -nan, 0, -nan, 1006.91, -nan, 45943.9
5, 160, 200, 15020.4, 22360.8, 230.788, 0, 1244.83, 2129.26, 1441.44, 2920.09, 14794, 21802.3
