2, 65, 200, -nan, 5929.2, -nan, 0, -nan, 0, -nan, 0, -nan, 5929.2
2, 66, 200, 12624.9, 5587.07, 0, 0, 0, 0, 0, 0, 12624.9, 5587.07
2, 67, 200, -nan, 5713.91, -nan, 0, -nan, 0, -nan, 0, -nan, 5713.91
2, 68, 200, 9134.15, 5469.29, 0, 0, 0, 0, 0, 0, 9134.15, 5469.29
2, 69, 200, -nan, 5571.59, -nan, 0, -nan, 0, -nan, 0, -nan, 5571.59
2, 70, 200, -nan, 5138.42, -nan, 0, -nan, 0, -nan, 0, -nan, 5138.42
2, 71, 200, -nan, 5680.8, -nan, 0, -nan, 0, -nan, 0, -nan, 5680.8
2, 72, 200, -nan, 5027.6, -nan, 0, -nan, 0, -nan, 0, -nan, 5027.6
2, 73, 200, -nan, 5627.32, -nan, 0, -nan, 0, -nan, 0, -nan, 5627.32
2, 74, 200, 17828.7, 8138.81, 0, 0, 0, 0, 0, 0, 17828.7, 8138.81
2, 75, 200, -nan, 6010.17, -nan, 0, -nan, 0, -nan, 0, -nan, 6010.17
2, 76, 200, -nan, 6021.48, -nan, 0, -nan, 0, -nan, 0, -nan, 6021.48
2, 77, 200, -nan, 5728.54, -nan, 0, -nan, 0, -nan, 0, -nan, 5728.54
2, 78, 200, -nan, 5332.58, -nan, 0, -nan, 0, -nan, 0, -nan, 5332.58
2, 79, 200, -nan, 6128.7, -nan, 0, -nan, 0, -nan, 0, -nan, 6128.7
3, 80, 200, -nan, 5286.02, -nan, 0, -nan, 0, -nan, 0, -nan, 5286.02
3, 81, 200, -nan, 5526.87, -nan, 0, -nan, 0, -nan, 0, -nan, 5526.87
3, 82, 200, -nan, 5664.35, -nan, 0, -nan, 0, -nan, 0, -nan, 5664.35
3, 83, 200, -nan, 5843.78, -nan, 0, -nan, 0, -nan, 0, -nan, 5843.78
3, 84, 200, -nan, 6561.16, -nan, 0, -nan, 0, -nan, 0, -nan, 6561.16
3, 85, 200, -nan, 6024.32, -nan, 0, -nan, 0, -nan, 0, -nan, 6024.32
3, 86, 200, -nan, 6698.99, -nan, 0, -nan, 0, -nan, 0, -nan, 6698.99
3, 87, 200, 7071.46, 6292.32, 0, 0, 0, 0, 0, 0, 7071.46, 6292.32
3, 88, 200, -nan, 6279.53, -nan, 0, -nan, 0, -nan, 0, -nan, 6279.53
3, 89, 200, -nan, 6189.04, -nan, 0, -nan, 0, -nan, 0, -nan, 6189.04
3, 90, 200, -nan, 6296.17, -nan, 0, -nan, 0, -nan, 0, -nan, 6296.17
3, 91, 200, -nan, 6142.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6142.97
3, 92, 200, -nan, 6139.3, -nan, 0, -nan, 0, -nan, 0, -nan, 6139.3
3, 93, 200, -nan, 6176.24, -nan, 0, -nan, 0, -nan, 0, -nan, 6176.24
3, 94, 200, 24024.5, 8460.56, 0, 0, 0, 0, 0, 0, 24024.5, 8460.56
3, 95, 200, 11330.4, 6965.06, 0, 0, 0, 0, 0, 0, 11330.4, 6965.06
3, 96, 200, -nan, 6752.22, -nan, 0, -nan, 0, -nan, 0, -nan, 6752.22
3, 97, 200, -nan, 6350.27, -nan, 0, -nan, 0, -nan, 0, -nan, 6350.27
3, 98, 200, -nan, 6550.29, -nan, 0, -nan, 0, -nan, 0, -nan, 6550.29
3, 99, 200, -nan, 6731.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6731.11
3, 100, 200, -nan, 6464.94, -nan, 0, -nan, 0, -nan, 0, -nan, 6464.94
3, 101, 200, -nan, 6567.56, -nan, 0, -nan, 0, -nan, 0, -nan, 6567.56
3, 102, 200, -nan, 6645.24, -nan, 0, -nan, 0, -nan, 0, -nan, 6645.24
3, 103, 200, -nan, 6751, -nan, 0, -nan, 0, -nan, 0, -nan, 6751
3, 104, 200, -nan, 6431.45, -nan, 0, -nan, 0, -nan, 0, -nan, 6431.45
3, 105, 200, -nan, 6250.19, -nan, 0, -nan, 0, -nan, 0, -nan, 6250.19
3, 106, 200, -nan, 6796.11, -nan, 0, -nan, 0, -nan, 0, -nan, 6796.11
3, 107, 200, -nan, 6428.25, -nan, 0, -nan, 0, -nan, 0, -nan, 6428.25
3, 108, 200, -nan, 6419.57, -nan, 0, -nan, 0, -nan, 0, -nan, 6419.57
3, 109, 200, -nan, 6266.27, -nan, 0, -nan, 0, -nan, 0, -nan, 6266.27
3, 110, 200, -nan, 6085.39, -nan, 0, -nan, 0, -nan, 0, -nan, 6085.39
3, 111, 200, -nan, 6588.73, -nan, 0, -nan, 0, -nan, 0, -nan, 6588.73
3, 112, 200, -nan, 6506.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6506.13
3, 113, 200, -nan, 6796.04, -nan, 0, -nan, 0, -nan, 0, -nan, 6796.04
3, 114, 200, -nan, 6584.15, -nan, 0, -nan, 0, -nan, 0, -nan, 6584.15
3, 115, 200, -nan, 6630.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6630.13
3, 116, 200, -nan, 6526.09, -nan, 0, -nan, 0, -nan, 0, -nan, 6526.09
3, 117, 200, -nan, 6368.5, -nan, 0, -nan, 0, -nan, 0, -nan, 6368.5
3, 118, 200, -nan, 6498.83, -nan, 0, -nan, 0, -nan, 0, -nan, 6498.83
3, 119, 200, -nan, 6404.95, -nan, 0, -nan, 0, -nan, 0, -nan, 6404.95
4, 120, 200, -nan, 6840.46, -nan, 0, -nan, 0, -nan, 0, -nan, 6840.46
4, 121, 200, -nan, 6227.44, -nan, 0, -nan, 0, -nan, 0, -nan, 6227.44
4, 122, 200, -nan, 6322.33, -nan, 0, -nan, 0, -nan, 0, -nan, 6322.33
4, 123, 200, -nan, 7007.88, -nan, 0, -nan, 0, -nan, 0, -nan, 7007.88
4, 124, 200, -nan, 6072.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6072.97
4, 125, 200, -nan, 6962.13, -nan, 0, -nan, 0, -nan, 0, -nan, 6962.13
4, 126, 200, -nan, 6495.76, -nan, 0, -nan, 0, -nan, 0, -nan, 6495.76
4, 127, 200, -nan, 6466.7, -nan, 0, -nan, 0, -nan, 0, -nan, 6466.7
4, 128, 200, -nan, 6289.51, -nan, 0, -nan, 0, -nan, 0, -nan, 6289.51
4, 129, 200, -nan, 6753.6, -nan, 0, -nan, 0, -nan, 0, -nan, 6753.6
4, 130, 200, -nan, 6571.02, -nan, 0, -nan, 0, -nan, 0, -nan, 6571.02
4, 131, 200, -nan, 6282.58, -nan, 0, -nan, 0, -nan, 0, -nan, 6282.58
4, 132, 200, -nan, 5758.52, -nan, 0, -nan, 0, -nan, 0, -nan, 5758.52
4, 133, 200, -nan, 6858.16, -nan, 0, -nan, 0, -nan, 0, -nan, 6858.16
4, 134, 200, -nan, 6603.82, -nan, 0, -nan, 0, -nan, 0, -nan, 6603.82
4, 135, 200, -nan, 6458.29, -nan, 0, -nan, 0, -nan, 0, -nan, 6458.29
4, 136, 200, -nan, 6585.63, -nan, 0, -nan, 0, -nan, 0, -nan, 6585.63
4, 137, 200, -nan, 6589.64, -nan, 0, -nan, 0, -nan, 0, -nan, 6589.64
4, 138, 200, -nan, 6019.3, -nan, 0, -nan, 0, -nan, 0, -nan, 6019.3
4, 139, 200, -nan, 6382.78, -nan, 0, -nan, 0, -nan, 0, -nan, 6382.78
4, 140, 200, -nan, 6708.92, -nan, 0, -nan, 0, -nan, 0, -nan, 6708.92
4, 141, 200, -nan, 6174.83, -nan, 0, -nan, 0, -nan, 0, -nan, 6174.83
4, 142, 200, -nan, 6459.56, -nan, 0, -nan, 0, -nan, 0, -nan, 6459.56
4, 143, 200, -nan, 6464.97, -nan, 0, -nan, 0, -nan, 0, -nan, 6464.97
