1, 0, 2527, 61
2, 1, 1571, 42
3, 2, 1214, 36
4, 3, 1048, 22
5, 4, 907, 14
6, 5, 811, 14
7, 6, 789, 12
8, 7, 777, 7
9, 8, 725, 8
10, 9, 706, 10
11, 10, 699, 11
12, 11, 653, 6
13, 12, 665, 6
14, 13, 642, 2
15, 14, 645, 4
16, 15, 668, 8
17, 16, 650, 7
18, 17, 664, 8
19, 18, 655, 8
20, 19, 634, 7
21, 20, 645, 5
22, 21, 634, 4
23, 22, 630, 6
24, 23, 632, 6
25, 24, 637, 5
26, 25, 636, 4
27, 26, 615, 7
28, 27, 617, 6
29, 28, 625, 6
30, 29, 620, 8
31, 30, 627, 8
32, 31, 631, 7
33, 32, 612, 6
34, 33, 595, 5
35, 34, 563, 6
36, 35, 550, 5
37, 36, 579, 7
38, 37, 572, 2
39, 38, 547, 4
40, 39, 562, 2
41, 40, 545, 3
42, 41, 559, 2
43, 42, 552, 2
44, 43, 547, 2
45, 44, 544, 2
46, 45, 546, 3
47, 46, 548, 3
48, 47, 532, 4
49, 48, 548, 3
50, 49, 534, 3
51, 50, 515, 1
52, 51, 509, 4
53, 52, 502, 3
54, 53, 510, 3
55, 54, 524, 3
56, 55, 517, 2
57, 56, 495, 1
58, 57, 506, 4
59, 58, 500, 4
60, 59, 498, 4
61, 60, 487, 5
62, 61, 487, 3
63, 62, 476, 4
64, 63, 470, 2
65, 64, 475, 2
66, 65, 479, 3
67, 66, 474, 3
68, 67, 466, 1
69, 68, 454, 1
70, 69, 453, 4
71, 70, 442, 3
72, 71, 450, 1
73, 72, 452, 0
74, 73, 453, 1
75, 74, 449, 4
76, 75, 443, 4
77, 76, 436, 2
78, 77, 433, 4
79, 78, 431, 4
80, 79, 428, 5
81, 80, 426, 3
82, 81, 429, 3
83, 82, 426, 5
84, 83, 432, 5
85, 84, 439, 5
86, 85, 439, 4
87, 86, 441, 5
88, 87, 439, 3
89, 88, 428, 5
90, 89, 430, 6
91, 90, 415, 3
92, 91, 412, 2
93, 92, 400, 1
94, 93, 404, 2
95, 94, 401, 1
96, 95, 399, 2
97, 96, 405, 2
98, 97, 389, 1
99, 98, 399, 0
100, 99, 402, 2
