1, 0, 200, 1, 123.407, -121.664, -1
1, 1, 200, 1, 39.3123, -61.3831, 0.857964
1, 2, 200, 1, 60.1665, -79.5891, 0.748558
1, 3, 200, 1, 9.13517, -6.30667, 0.781755
1, 4, 200, 1, 134.281, -104.242, -0.0490163
1, 5, 200, 1, 160.842, -104.162, 0.489817
1, 6, 200, 1, 104.226, -120.498, 0.377692
1, 7, 200, 1, 102.692, -100.552, 0.192882
1, 8, 200, 1, 151.716, -111.462, 0.692036
1, 9, 200, 1, 151.697, -108.179, 0.099482
1, 10, 200, 1, 151.864, -116.572, -0.324999
1, 11, 200, 1, 261.225, -61.7566, 0.193039
1, 12, 200, 1, 211.448, -111.309, -0.255263
1, 13, 200, 3.2369, 257.582, -84.8297, -0.158785
1, 14, 200, 2.71068, 265.685, -75.5408, 0.0995027
1, 15, 200, 1, 307.587, -47.7385, 0.341492
1, 16, 200, 3.751, 249.975, -72.0164, 0.0530037
1, 17, 200, 1, 287.774, -83.2764, -1
1, 18, 200, 1, 398.14, -41.6293, 0.73739
1, 19, 200, 1, 331.678, -46.9681, 0.301316
1, 20, 200, 2.96023, 349.394, -33.1474, 0.266234
1, 21, 200, 3.02534, 325.802, -33.861, 0.114318
1, 22, 200, 1.80959, 339.399, -34.5268, 0.341103
1, 23, 200, 1, 361.505, -33.7872, 0.24758
1, 24, 200, 3.67878, 328.799, -31.5299, -0.225385
1, 25, 200, 1, 356.714, -32.1314, -0.1329
1, 26, 200, 4.69296, 362.053, -36.1454, 0.193848
1, 27, 200, 1.75514, 348.509, -36.4325, -0.573897
1, 28, 200, 3.96065, 377.956, -45.1426, -0.685734
1, 29, 200, 1, 390.763, -14.7003, 0.567148
1, 30, 200, 4.75153, 417.384, -32.9888, 0.0505412
1, 31, 200, 3.86907, 350.278, -25.6321, 0.167492
1, 32, 200, 3.92365, 372.658, -22.8023, -0.884046
1, 33, 200, 3.93863, 414.555, -15.7938, 0.186198
1, 34, 200, 4.0619, 378.475, -25.9442, -0.00498129
1, 35, 200, 1, 386.84, -17.4004, 0.286922
1, 36, 200, 4.14207, 358.65, -33.1391, -0.452802
